Вопрос,Правильный_ответ,Неправильный_ответ1,Неправильный_ответ2,Неправильный_ответ3
Год открытия нашего ресторана?,2020,2019,2017,1999
Как называется процесс который для размягчения или для удаления горечи продукт проваривают в кипятке 3-5 минут?,Бланширование,Жарка,Кипячение,Тушение
Национальным блюдом какой страны является паэлья?,Испания,Франция,Италия,Мексика
Обжаривание овощей в масле на медленном огне - это…,Пассеровка,Дегласировка,Шпигование,Льезон
Как называется рыба: которая содержит в себе смертельную дозу тетродотоксина?,Фугу,Снук,Ваху,Айго
Как называется национальное блюдо Исландии которое представляет из себя вяленое на свежем воздухе мясо акулы?,Хаукарль,Дуриан,Касу марцу,Хаггис
Где придумали Йоркширский пудинг?,Англия,Германия,Бельгия,США
Что такое трдельник?,Сладкая витая булочка,Медовая кофрижка,Кокосовое пирожное с орехами,Бутерброд с треской
Из чего готовят эскарго?,Улитки,Гусиная печень,Мидии,Лягушки
Из чего готовят рататуй?,Овощи,Рыба,Мясо,Ягоды
Что за блюдо такое - крепы?,Тонкие блинчики,Пресная каша,Лаванда в шоколаде,Сладкие булочки
Какой овощ на Руси считался «вторым хлебом»?,Репа,Картофель,Тыква,Редис
Какой способ приготовления продуктов издавна был известен славянам только называли его пряжением?,Жарение во фритюре,Запекание,Варение,Тушение
Лепешки «Кабартма» из какой страны?,Россия,Узбекистан,Сербия,Румыния
Национальным блюдом какой страны является «Билтонг» - длинные полосы высушенного мяса приправленного всевозможными специями?,ЮАР,Китай,Япония,Египет
Из какого языка происходит слово «Майонез»?,Франция,Англия,Германия,Италия
Банош - ароматная кукурузная каша со сметаной и сливками это национальное блюдо какой страны?,Украина,Казахстан,Россия,Румыния
Ризотто - распространенное блюдо из риса в ....?,Италии,Франции,США,Испании
Что такое лефсе?,Норвежские блины,Французский суп,Итальянское печенье,Французские блины
Как называются традиционные бельгийские и голландские пончики которые готовят во фритюре?,Олибол,Донат,Паасброд,Поффертье
Каким блюдом является граавилохи (гравлакс)?,Рыбным,Мясным,Овощным,Фруктовым
Сюрстрёмминг — это ...,Консервированная квашенная сельдь,Фруктовый десерт,Традиционный скандинавский напиток,Маринованный лук
Из каких фруктов готовится традиционное венгерское повидло из Тополовени?,Сливы,Яблоки,Груши,Абрикосы
Из чего чаще всего готовят русское кондитерское изделие мазюню?,Редьки,Яблок,Слив,Редиса
В какой стране можно попробовать напиток из живой лягушки?,В Перу,В Эквадоре,В Аргентине,В Чили
Как называется шведский безалкогольный рождественский напиток который готовится на основе газированной воды и пряностей?,Юлмуст,Пунш,Глинтвейн,Глёгг
Какой советский лидер стал неофициальным рекламным лицом Пепси попробовав Пепси-колу на Американской национальной выставке в Москве?,Хрущев,Сталин,Горбачев,Брежнев
К какому типу сыров относится сыр Сулугуни?,Рассольные сыры,Кисломолочные сыры,Плесневые сыры,Плавленные сыры
Откуда Марко Поло привёз рецепт мороженого первым познакомив Европу с этим замечательным лакомством?,Из Китая,Из России,Из Японии,Из Индии
Название какого овоща или фрукта происходит от итальянского словосочетания «золотое яблоко»?,Помидор,Лимон,Апельсин,Груша
К какой кухне относится овощное блюдо рататуй?,К французской,К испанской,К португальской,К английской
При каком царе в России появился чай?,Михаил Федорович Романов,Иван Грозный,Петр Первый,Василий Третий
Территория какой страны современными учёными считается родиной яблок?,Казахстана,России,Украины,Турции
Как называется мексиканское блюдо популярное в Америке состоящее из мягкой пшеничной лепешки в которую завернута разнообразная начинка?,Буррито,Тако,Гамбургер,Чили кон карне
